Date,Open,High,Low,Close,Adj Close,Volume
2012-12-13,575.325012,578.375,568.75,570.75,438.545776,282664
2012-12-14,568.5,573.862,566.763,569.312012,437.440796,239500
2012-12-17,569.224976,573,564.036987,566.138,435.002106,258524
2012-12-18,566,568.75,561.275024,567.650024,436.163818,271540
2012-12-19,568,574.862,567.75,573.838013,440.918518,274784
2012-12-20,575,577.513,570.049988,574.700012,441.580811,317612
2012-12-21,573.799988,580.349976,571.075012,573.125,440.370667,236052
2012-12-24,575.263,581.974976,575.263,579.737,445.45105,154920
2012-12-26,579.737,582.911987,576.213013,577.825012,443.981995,147720
2012-12-27,581.25,582.312012,569.286987,571.713013,439.285767,159968
2012-12-28,575,580.5,572.549988,579.599976,445.345795,195228
2012-12-31,579.599976,581.25,575.950012,579.625,445.36499,296372
2013-01-01,581.275024,582.286987,575.75,577.075012,443.405701,132824
2013-01-02,578.75,582.338013,575.713013,576.900024,443.271271,180652
2013-01-03,579.5,586.200012,577.599976,584.075012,448.784302,307276
2013-01-04,586.5,588.700012,583.299988,587.075012,451.089386,365556
2013-01-07,587,595,584.174988,593.674988,456.160583,313484
2013-01-08,591.25,592,580.549988,585.299988,449.725464,359372
2013-01-09,587.487,590.5,580.687988,582.049988,447.228302,194908
2013-01-10,582.5,585.5,577.25,580.088013,445.720856,422192
2013-01-11,626.974976,680,626.974976,678.150024,521.06842,6487952
2013-01-14,681.875,708.75,681.875,701.812012,539.249451,2852940
2013-01-15,701.75,702.5,693.612,697.487,535.926392,858964
2013-01-16,694.5,697.5,688.25,692.763,532.29657,384288
2013-01-17,695.775024,701.5,695,699.049988,537.127319,696668
2013-01-18,699.5,701.888,694.286987,697.450012,535.897949,283348
2013-01-21,691.25,702.5,691.25,699.5,537.473145,284212
2013-01-22,696.562012,699.487,694.299988,695.875,534.687744,191536
2013-01-23,694.150024,699.25,693.763,697.213013,535.715759,251308
2013-01-24,701.312012,706.625,697.5,699.275024,537.300232,580844
2013-01-25,701.25,705.75,698,703.661987,540.671021,248000
2013-01-28,701.775024,706.974976,700,702.513,539.788147,371496
2013-01-29,700.25,706,697.187988,699.599976,537.549866,219764
2013-01-30,699.525024,702.463013,695.5,698.125,536.416626,240092
2013-01-31,697.5,701.25,692.5,697.187988,535.696594,275572
2013-02-01,697.25,699.950012,687.924988,692.737,532.276672,276748
2013-02-04,694.25,696.125,686.625,690.588013,530.625427,207076
2013-02-05,687.549988,695,687.549988,689.513,529.799377,135528
2013-02-06,693.013,695,688.5,693.599976,532.939636,103796
2013-02-07,695.625,699.5,694.638,697.450012,535.897949,298764
2013-02-08,697.25,703.638,693.200012,697.075012,535.609741,321756
2013-02-11,700,703.25,696.174988,697.661987,536.06073,394268
2013-02-12,693.75,693.763,685.75,688.661987,529.145508,86520
2013-02-13,687.5,699.200012,685,697.325012,535.801819,242632
2013-02-14,697.786987,706.25,697.786987,703.237,540.344543,308460
2013-02-15,697,701.713013,692.536987,696.299988,535.014343,105332
2013-02-18,696.924988,696.924988,690.75,694.138,533.353027,58948
2013-02-19,694.5,706.25,691.299988,704.75,541.507019,146736
2013-02-20,705,707.5,701.987,704.963013,541.670654,201784
