"date","weighted","close","high","low","open","volume"
"2015-07-19","273.18","273.18","277.07","271.85","274.05","8322466"
"2015-07-20","277.68","277.68","278.85","271.82","273.18","12900609.61"
"2015-07-21","275.09","275.09","281.05","274.19","277.68","13667891.12"
"2015-07-22","276.46","276.46","277.39","273.12","275.09","11596311.21"
"2015-07-23","275.52","275.52","277.85","274.47","276.46","9870635.2"
"2015-07-24","288.37","288.37","289.81","274.26","275.52","21095041.66"
"2015-07-25","288.74","288.74","291.24","284.67","288.37","12024889.58"
"2015-07-26","291.77","291.77","293.28","286.77","288.74","9038050.71"
"2015-07-27","293.01","293.01","295.79","285.4","291.77","20358325.65"
"2015-07-28","293.7","293.7","296.68","291.67","293.01","14466428.05"
"2015-07-29","288.37","288.37","294.72","286.89","293.7","14738216.66"
"2015-07-30","287.02","287.02","289.89","284.91","288.37","12888680.67"
"2015-07-31","283.73","283.73","288.69","280.77","287.02","14019071.24"
"2015-08-01","280.47","280.47","284.53","276.3","283.73","11068826.78"
"2015-08-02","281.36","281.36","282.5","275.93","280.47","9978638.45"
"2015-08-03","281.58","281.58","285","278.94","281.36","13006246.28"
"2015-08-04","284.3","284.3","285.66","279.58","281.58","12732203.17"
"2015-08-05","281.72","281.72","285.45","280.53","284.3","10854754.48"
"2015-08-06","278","278","281.98","276.46","281.72","9319083.23"
"2015-08-07","277.89","277.89","279.6","274.28","278","11919665.19"
"2015-08-08","258.6","258.6","278.92","257.42","277.89","22308123.7"
"2015-08-09","263.87","263.87","266.75","258.56","258.6","15154749.09"
"2015-08-10","263.3","263.3","266.63","260.52","263.87","12873441.85"
"2015-08-11","269.03","269.03","269.9","261.44","263.3","13681939.6"
"2015-08-12","267.66","267.66","271.5","263.66","269.03","15232934.05"
"2015-08-13","263.44","263.44","268.39","261.28","267.66","14962211.79"
"2015-08-14","265.03","265.03","267.22","260.21","263.44","13899139.99"
"2015-08-15","260.52","260.52","266.55","259.38","265.03","10303301.22"
"2015-08-16","257.12","257.12","261.92","254.57","260.52","17880398.95"
"2015-08-17","257.13","257.13","259.93","252.87","257.12","12378054.89"
"2015-08-18","246.72","246.72","257.53","245.74","257.13","23896056.77"
